영화,개봉일,누적관객수
미이라 3:황제의 무덤,2008-07-30,4111753
댄싱퀸,2012-01-18,4090885
7급 공무원,2009-04-22,4058225
우리 생애 최고의 순간,2008-01-10,4039891
꾼,2017-11-22,4018872
타짜-신의 손,2014-09-03,4018341
혹성탈출: 반격의 서막,2014-07-10,4015361
쿵푸팬더3,2016-01-28,4002560
캡틴 아메리카: 윈터 솔져,2014-03-26,3984814
스즈메의 문단속,2023-03-08,3964965
매드 맥스: 분노의 도로,2015-05-14,3920851
캐리비안의 해적 : 망자의 함,2006-07-06,3911617
박수건달,2013-01-09,3897969
베놈,2018-10-03,3888096
조선명탐정 : 사라진 놉의 딸,2015-02-11,3872015
역린,2014-04-30,3849700
남한산성,2017-10-03,3849129
너의 이름은.,2017-01-04,3816428
반도,2020-07-15,3812954
암수살인,2018-10-03,3789553
데드풀 2,2018-05-16,3784602
라라랜드,2016-12-07,3767582
국가부도의 날,2018-11-28,3755469
쌍화점,2008-12-30,3749034
신기전,2008-09-04,3728439
해리 포터와 불사조 기사단,2007-07-11,3702538
미이라,2017-06-06,3689325
82년생 김지영,2019-10-23,3679162
분노의 질주: 더 익스트림,2017-04-12,3659683
분노의 질주: 홉스&쇼,2019-08-14,3657627
모가디슈,2021-07-28,3619202
인턴,2015-09-24,3611166
귀향,2016-02-24,3587256
리얼 스틸,2011-10-12,3579666
신의 한 수,2014-07-03,3566852
코코,2018-01-11,3516880
해리 포터와 불의 잔,2005-12-01,3499257
비긴 어게인,2014-08-13,3477672
태풍,2005-12-14,3471150
타짜: 원 아이드 잭,2019-09-11,2229239
해리포터와 아즈카반의 죄수,2004-07-16,2532000
해리 포터와 불의 잔,2005-12-01,3615000
해리 포터와 불사조 기사단,2007-07-11,3475000
해리 포터와 혼혈 왕자,2009-07-15,3002669
해리 포터와 죽음의 성물1,2010-12-15,2809053
해리포터와 죽음의 성물2,2011-07-13,4400298
해리포터와 비밀의 방,2002-12-13,4000000
트랜스포머: 최후의 기사,2017-06-21,2614601
