Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
관상,2013-09-11,"사극,드라마",15세이상관람가,한국,"필름,2D",한재림,"송강호,이정재,백윤식,조정석,이종석,김혜수",9135806
아이언맨 3,2013-04-25,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",쉐인 블랙,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로",9001679
캡틴 아메리카: 시빌 워,2016-04-27,"액션,SF,스릴러",12세이상관람가,미국,"2D,3D,4D,IMAX","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너",8678761
해적: 바다로 간 산적,2014-08-06,어드벤처,12세이상관람가,한국,"필름,2D,4D",이석훈,"김남길,손예진,신정근",8666208
수상한 그녀,2014-01-22,드라마,15세이상관람가,한국,"필름,2D,4D",황동혁,"심은경,나문희,박인환,성동일,이진욱",8660801
백두산,2019-12-19,"어드벤처,드라마",12세이상관람가,한국,"2D,4D","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지",8253427
과속스캔들,2008-12-03,코미디,12세이상관람가,한국,"필름,2D",강형철,"차태현,박보영,왕석현",8223342
탑건: 매버릭,2022-06-22,액션,12세이상관람가,미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리",8195742
국가대표,2009-07-29,"드라마,액션,코미디",12세이상관람가,한국,"필름,2D",김용화,"하정우,성동일,김지석,김동욱,최재환,이재응,이은성,심영",8035181
스파이더맨: 파 프롬 홈,2019-07-02,"액션,어드벤처,코미디,SF",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",존 왓츠,"톰 홀랜드,사무엘 L. 잭슨,젠데이아 콜먼,코비 스멀더스,존 파브로,마리사 토메이,제이크 질렌할,제이콥 배덜런",8023606
디워,2007-08-01,"액션,판타지",12세이상관람가,한국,"필름,2D",심형래,"브룩스 아만다,베어 제이슨",7855474
공조,2017-01-18,액션,15세이상관람가,한국,"2D,4D",김성훈,"현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘",7817686
트랜스포머 3,2011-06-29,"액션,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마이클 베이,"조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,샤이아 라보프,패트릭 뎀시",7785189
히말라야,2015-12-16,드라마,12세이상관람가,한국,"필름,2D",이석훈,"황정민,정우",7759761
스파이더맨: 노 웨이 홈,2021-12-15,"액션,어드벤처,SF",12세이상관람가,미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이",7551990
미션임파서블:고스트프로토콜,2011-12-15,액션,15세이상관람가,미국,"필름,2D,4D,IMAX",브래드 버드,"톰 크루즈,제레미 레너",7508976
밀정,2016-09-07,액션,15세이상관람가,"한국,미국","2D,4D",김지운,"송강호,공유",7500457
최종병기 활,2011-08-10,"사극,액션",15세이상관람가,한국,"필름,2D,4D",김한민,"박해일,류승룡,김무열,문채원",7470633
트랜스포머,2007-06-28,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,IMAX",마이클 베이,"샤이아 라보프,메간 폭스",7402732
트랜스포머: 패자의 역습,2009-06-24,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,IMAX",마이클 베이,"샤이아 라보프,메간 폭스",7393443
써니,2011-05-04,"드라마,코미디",15세이상관람가,한국,"필름,2D",강형철,"유호정,심은경,강소라,고수희,홍진희,김민영,김선경,김보미,이연경,남보라,민효린,조민수",7363142
한산: 용의 출현,2022-07-27,"액션,드라마",12세이상관람가,한국,"2D,4D,IMAX,ScreenX",김한민,"박해일,변요한,안성기,손현주,김성규,김성균,김향기,옥택연,공명,박지환,조재윤,김효주",7264934
스파이더맨: 홈 커밍,2017-07-05,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",존 왓츠,"톰 홀랜드,로버트 다우니 주니어,마이클 키튼",7258678
1987,2017-12-27,드라마,15세이상관람가,한국,2D,장준환,"김윤석,하정우,유해진,김태리,이희준",7232452
베를린,2013-01-30,액션,15세이상관람가,"한국,독일","필름,2D,4D",류승완,"하정우,한석규,류승범,전지현",7166688
마스터,2016-12-21,"액션,범죄",15세이상관람가,한국,2D,조의석,"이병헌,강동원,김우빈",7150586
터널,2016-08-10,드라마,12세이상관람가,한국,2D,김성훈,"하정우,배두나,오달수",7120780
어벤져스,2012-04-26,"액션,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너",7087971
내부자들,2015-11-19,"범죄,드라마",청소년관람불가,한국,"필름,2D",우민호,"이병헌,조승우,백윤식",7073581
인천상륙작전,2016-07-27,"전쟁,드라마",12세이상관람가,한국,"2D,3D",이재한,"이정재,이범수,리암 니슨",7051237
공조2: 인터내셔날,2022-09-07,"액션,코미디",15세이상관람가,한국,2D,이석훈,"현빈,유해진,임윤아,다니엘 헤니,진선규",6982940
럭키,2016-10-13,코미디,15세이상관람가,한국,2D,이계벽,"유해진,이준,조윤희,임지연",6975631
은밀하게 위대하게,2013-06-05,"액션,코미디,드라마",15세이상관람가,한국,"필름,2D",장철수,"김수현,박기웅,이현우,손현주,신정근",6959083
범죄도시,2017-10-03,"범죄,액션",청소년관람불가,한국,2D,강윤성,"마동석,윤계상,조재윤,최귀화,김성규",6880546
곡성,2016-05-12,"미스터리,스릴러,드라마",15세이상관람가,"한국,미국","필름,2D",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희",6879989
화려한 휴가,2007-07-25,드라마,12세이상관람가,한국,필름,김지훈,"김상경,안성기,이요원,이준기,박철민",6855433
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"서부극(웨스턴),액션,어드벤처",15세이상관람가,한국,"필름,2D,4D",김지운,"송강호,이병헌,정우성,엄지원,오일용",6686075
늑대소년,2012-10-31,"멜로/로맨스,드라마,판타지",15세이상관람가,한국,"필름,2D",조성희,"송중기,박보영",6655501
군함도,2017-07-26,"액션,드라마",15세이상관람가,한국,"필름,2D,4D",류승완,"황정민,소지섭,송중기,이정현,김수안",6592151
미션 임파서블: 폴아웃,2018-07-25,"액션,스릴러",15세이상관람가,미국,"2D,3D,4D,IMAX",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈",6584915
웰컴 투 동막골,2005-08-04,"전쟁,드라마",12세관람가,한국,"필름,2D",박광현,"신하균,정재영,강혜정,리민",6436900
다크 나이트 라이즈,2012-07-19,"액션,범죄,스릴러",15세이상관람가,"미국,영국","필름,2D,4D,IMAX",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗",6428574
사도,2015-09-16,사극,12세이상관람가,한국,"필름,2D",이준익,"송강호,유아인,문근영",6247745
아저씨,2010-08-04,"액션,드라마",청소년관람불가,한국,"필름,2D",이정범,"원빈,김새론",6179525
킹스맨 : 시크릿 에이전트,2015-02-11,"액션,스릴러",청소년관람불가,"미국,영국","필름,2D,4D,IMAX",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",6129681
미션 임파서블: 로그네이션,2015-07-30,"액션,스릴러,어드벤처",15세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨",6126488
미녀는 괴로워,2006-12-14,"멜로/로맨스,코미디",12세이상관람가,한국,필름,김용화,"김아중,주진모",6081480
전우치,2009-12-23,"액션,코미디,판타지",12세이상관람가,한국,"필름,2D,4D",최동훈,"강동원,임수정,김윤석,유해진,김시권,주진모,선우선",6065474
연평해전,2015-06-24,드라마,12세이상관람가,한국,"필름,2D,3D",김학순,"김무열,진구,이현우,이완",6045393
인셉션,2010-07-21,"드라마,미스터리",12세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 놀란,레오나르도 디카프리오,5998647
레미제라블,2012-12-19,드라마,12세이상관람가,미국,"필름,2D,IMAX",톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",5939011
닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"액션,어드벤처,판타지",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",샘 레이미,"베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,레이첼 맥아담스,치웨텔 에지오포,소치틀 고메즈",5884587
캡틴 마블,2019-03-06,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX","애너 보든,라이언 플렉","브리 라슨,사무엘 L. 잭슨,벤 멘델슨,주드 로",5802810
타짜,2006-09-28,드라마,18세관람가,한국,"필름,2D",최동훈,"조승우,김혜수,백윤식,유해진,이수경",5692997
쥬라기 월드: 폴른 킹덤,2018-06-06,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼",5661128
청년경찰,2017-08-09,액션,15세이상관람가,한국,2D,김주환,"박서준,강하늘,성동일,박하선",5653444
숨바꼭질,2013-08-14,스릴러,15세이상관람가,한국,"필름,2D",허정,"손현주,문정희,전미선",5604106
덕혜옹주,2016-08-03,"사극,드라마",12세이상관람가,한국,2D,허진호,"손예진,박해일",5599995
