Title,Release,Genre,Age,Nation,Type,Director,Main_actor,Audi
용의자,2013-12-24,"액션,스릴러",15세이상관람가,한국,"필름,2D,4D",원신연,"공유,박희순,조성하,유다인,김성균,조재윤",4168353
건축학개론,2012-03-22,"멜로/로맨스,드라마",12세이상관람가,한국,"필름,2D",이용주,"엄태웅,한가인,이제훈,배수지",4131338
인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"액션,어드벤처",12세이상관람가,미국,필름,스티븐 스필버그,"해리슨 포드,샤이아 라보프",4114167
미이라 3:황제의 무덤,2008-07-30,"액션,어드벤처,판타지",12세이상관람가,미국,필름,롭 코헨,"브렌든 프레이저,마리아 벨로,이연걸",4111753
댄싱퀸,2012-01-18,"코미디,드라마",12세이상관람가,한국,"필름,2D",이석훈,"황정민,엄정화",4090885
7급 공무원,2009-04-22,"코미디,액션,드라마,범죄",12세이상관람가,한국,"필름,2D",신태라,"김하늘,강지환,임성현",4058225
우리 생애 최고의 순간,2008-01-10,드라마,전체관람가,한국,필름,임순례,"문소리,김정은,엄태웅,김지영,조은지,강재원",4039891
꾼,2017-11-22,범죄,15세이상관람가,한국,2D,장창원,"현빈,유지태",4018872
타짜-신의 손,2014-09-03,드라마,청소년관람불가,한국,"필름,2D",강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세",4018341
혹성탈출: 반격의 서막,2014-07-10,"액션,드라마,SF,스릴러",12세이상관람가,미국,"필름,2D,3D,4D",맷 리브스,"앤디 서키스,게리 올드만,제이슨 클락",4015361
쿵푸팬더3,2016-01-28,"애니메이션,액션,어드벤처",전체관람가,미국,"2D,3D,4D,IMAX","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스",4002560
캡틴 아메리카: 윈터 솔져,2014-03-26,"액션,어드벤처,SF",15세이상관람가,미국,"필름,2D,3D,4D,IMAX","조 루소,안소니 루소","크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드",3984814
스즈메의 문단속,2023-03-08,애니메이션,12세이상관람가,일본,"2D,4D,IMAX,DOLBYCINEMA",신카이 마코토,,3964965
매드 맥스: 분노의 도로,2015-05-14,"액션,어드벤처,스릴러",15세이상관람가,"미국,호주","필름,2D,3D,4D,IMAX",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,휴 키즈 바인",3920851
캐리비안의 해적 : 망자의 함,2006-07-06,"액션,코미디,어드벤처,판타지",12세관람가,미국,필름,고어 버빈스키,"조니 뎁,올랜도 블룸",3911617
박수건달,2013-01-09,코미디,15세이상관람가,한국,"필름,2D",조진규,"박신양,김정태,엄지원,정혜영",3897969
베놈,2018-10-03,"액션,SF,스릴러",15세이상관람가,미국,"2D,4D,IMAX",루벤 플레셔,"톰 하디,미쉘 윌리엄스,리즈 아메드,제니 슬레이트",3888096
조선명탐정 : 사라진 놉의 딸,2015-02-11,"사극,코미디,어드벤처",12세이상관람가,한국,"필름,2D",김석윤,"김명민,오달수,이연희",3872015
역린,2014-04-30,사극,15세이상관람가,한국,"필름,2D,4D",이재규,"현빈,정재영,조정석,한지민,조재현,박성웅,김성령,정은채",3849700
남한산성,2017-10-03,"사극,드라마",15세이상관람가,한국,2D,황동혁,"이병헌,김윤석,박해일,고수,박희순,조우진",3849129
너의 이름은.,2017-01-04,"애니메이션,드라마,멜로/로맨스",12세이상관람가,일본,"2D,IMAX",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논",3816428
반도,2020-07-15,"액션,드라마",15세이상관람가,한국,"2D,4D,IMAX,ScreenX",연상호,"강동원,이정현",3812954
암수살인,2018-10-03,"범죄,드라마",15세이상관람가,한국,2D,김태균,"김윤석,주지훈,문정희,진선규,이유준",3789553
데드풀 2,2018-05-16,"액션,어드벤처,코미디,SF",청소년관람불가,미국,"2D,4D,IMAX",데이빗 레이치,"라이언 레이놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드",3784602
라라랜드,2016-12-07,"드라마,뮤지컬,멜로/로맨스",12세이상관람가,미국,"2D,IMAX,DOLBYCINEMA",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스",3767582
국가부도의 날,2018-11-28,드라마,12세이상관람가,한국,2D,최국희,"김혜수,유아인,허준호,조우진,뱅상 카셀",3755469
쌍화점,2008-12-30,드라마,청소년관람불가,한국,"필름,2D",유하,"조인성,주진모,송지효,임주환,여욱환",3749034
신기전,2008-09-04,"사극,드라마,액션,전쟁",15세이상관람가,한국,"필름,2D",김유진,"정재영,한은정,허준호",3728439
해리 포터와 불사조 기사단,2007-07-11,"판타지,액션,어드벤처",전체관람가,미국,"필름,2D,4D",데이빗 예이츠,"다니엘 래드클리프,루퍼트 그린트",3702538
미이라,2017-06-06,"액션,어드벤처,판타지",15세이상관람가,미국,"2D,3D,4D,IMAX",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스",3689325
82년생 김지영,2019-10-23,드라마,12세이상관람가,한국,2D,김도영,"정유미,공유,김국희",3679162
분노의 질주: 더 익스트림,2017-04-12,"액션,범죄,스릴러",15세이상관람가,"미국,일본,프랑스,캐나다","2D,4D,IMAX,DOLBYCINEMA",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈",3659683
분노의 질주: 홉스&쇼,2019-08-14,액션,12세이상관람가,미국,"2D,4D,IMAX,DOLBYCINEMA",데이빗 레이치,"드웨인 존슨,제이슨 스타뎀,이드리스 엘바,바네사 커비",3657627
모가디슈,2021-07-28,"액션,드라마",15세이상관람가,한국,"2D,4D,IMAX,ScreenX",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식",3619202
인턴,2015-09-24,코미디,12세이상관람가,미국,"필름,2D",낸시 마이어스,"앤 해서웨이,로버트 드 니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스",3611166
귀향,2016-02-24,드라마,15세이상관람가,한국,2D,조정래,"손숙,강하나,최리,임성철,정무성,류신",3587256
리얼 스틸,2011-10-12,"액션,드라마,SF",12세이상관람가,미국,"필름,2D,4D,IMAX",숀 레비,휴 잭맨,3579666
신의 한 수,2014-07-03,"범죄,액션",청소년관람불가,한국,"필름,2D",조범구,"정우성,안성기,이범수,김인권,이시영,안길강,최진혁",3566852
코코,2018-01-11,애니메이션,전체관람가,미국,"2D,4D,IMAX",리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫",3516880
해리 포터와 불의 잔,2005-12-01,"액션,판타지",12세관람가,미국,"필름,4D",마이크 뉴웰,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,랄프 파인즈",3499257
비긴 어게인,2014-08-13,멜로/로맨스,15세이상관람가,미국,"필름,2D",존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너",3477672
태풍,2005-12-14,"드라마,액션",15세관람가,한국,"필름,2D",곽경택,"이정재,이미연,장동건",3471150
킹콩,2005-12-14,"드라마,어드벤처",15세관람가,미국,필름,피터 잭슨,"잭 블랙,애드리언 브로디,나오미 왓츠",3470059
부러진 화살,2012-01-18,드라마,15세이상관람가,한국,"필름,2D",정지영,"안성기,박원상,나영희,김지호,신종훈",3460212
