,Title,Release,Genre,Age,Nation,Type,Director,Main_actor
53,스파이더맨: 홈 커밍,2017-07-05,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",존 왓츠,"톰 홀랜드,로버트 다우니 주니어,마이클 키튼"
54,1987,2017-12-27,드라마,15세이상관람가,한국,2D,장준환,"김윤석,하정우,유해진,김태리(연희),이희준(윤상삼 기자 )"
55,베를린,2013-01-30,액션,15세이상관람가,"한국,독일","필름,2D,4D",류승완,"하정우(표종성),한석규(정진수),류승범(동명수),전지현(련정희)"
56,마스터,2016-12-21,"액션,범죄",15세이상관람가,한국,2D,조의석,"이병헌(진회장),강동원(김재명),김우빈(박장군)"
57,터널,2016-08-10,드라마,12세이상관람가,한국,2D,김성훈,"하정우,배두나,오달수"
58,어벤져스,2012-04-26,"액션,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",조스 웨던,"로버트 다우니 주니어(토니 스타크/ 아이언 맨),스칼렛 요한슨(나타샤 로마노프/블랙 위도우),크리스 헴스워스(토르),크리스 에반스(스티브 로저/캡틴 아메리카),제레미 레너(호크 아이)"
59,내부자들,2015-11-19,"범죄,드라마",청소년관람불가,한국,"필름,2D",우민호,"이병헌(안상구),조승우(우장훈),백윤식(이강희)"
60,인천상륙작전,2016-07-27,"전쟁,드라마",12세이상관람가,한국,"2D,3D",이재한,"이정재(장학수),이범수(림계진),리암 니슨(더글러스 맥아더)"
61,공조2: 인터내셔날,2022-09-07,"액션,코미디",15세이상관람가,한국,2D,이석훈,"현빈,유해진,임윤아,다니엘 헤니,진선규"
62,럭키,2016-10-13,코미디,15세이상관람가,한국,2D,이계벽,"유해진,이준(재성),조윤희,임지연"
63,은밀하게 위대하게,2013-06-05,"액션,코미디,드라마",15세이상관람가,한국,"필름,2D",장철수,"김수현(원류환),박기웅(리해랑),이현우(리해진),손현주(김태원),신정근(이발소 박씨)"
64,범죄도시,2017-10-03,"범죄,액션",청소년관람불가,한국,2D,강윤성,"마동석(마석도),윤계상(장첸),조재윤,최귀화,김성규(양태)"
65,곡성,2016-05-12,"미스터리,스릴러,드라마",15세이상관람가,"한국,미국","필름,2D",나홍진,"곽도원(종구),황정민(일광),쿠니무라 준(외지인),천우희(무명),김환희(효진)"
66,화려한 휴가,2007-07-25,드라마,12세이상관람가,한국,필름,김지훈,"김상경,안성기,이요원(박신애),이준기,박철민(인봉 역 )"
67,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"서부극(웨스턴),액션,어드벤처",15세이상관람가,한국,"필름,2D,4D",김지운,"송강호(이상한 놈, 윤태구),이병헌(나쁜 놈, 박창이),정우성(좋은 놈, 박도원),엄지원,오일용(창이파)"
68,늑대소년,2012-10-31,"멜로/로맨스,드라마,판타지",15세이상관람가,한국,"필름,2D",조성희,"송중기(늑대소년),박보영(소녀)"
69,군함도,2017-07-26,"액션,드라마",15세이상관람가,한국,"필름,2D,4D",류승완,"황정민(이강옥),소지섭(최칠성),송중기(박무영),이정현(오말년),김수안(이소희)"
70,미션 임파서블: 폴아웃,2018-07-25,"액션,스릴러",15세이상관람가,미국,"2D,3D,4D,IMAX",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈"
71,웰컴 투 동막골,2005-08-04,"전쟁,드라마",12세관람가,한국,"필름,2D",박광현,"신하균,정재영,강혜정(여일),리민"
72,다크 나이트 라이즈,2012-07-19,"액션,범죄,스릴러",15세이상관람가,"미국,영국","필름,2D,4D,IMAX",크리스토퍼 놀란,"크리스찬 베일(브루스 웨인/배트맨),게리 올드만(짐 고든),앤 해서웨이(셀리나 카일),톰 하디(베인),조셉 고든 레빗(존 블레이크)"
73,사도,2015-09-16,사극,12세이상관람가,한국,"필름,2D",이준익,"송강호,유아인,문근영(혜경궁 홍씨 )"
74,아저씨,2010-08-04,"액션,드라마",청소년관람불가,한국,"필름,2D",이정범,"원빈(차태식),김새론(소미)"
75,킹스맨 : 시크릿 에이전트,2015-02-11,"액션,스릴러",청소년관람불가,"미국,영국","필름,2D,4D,IMAX",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
76,미션 임파서블: 로그네이션,2015-07-30,"액션,스릴러,어드벤처",15세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨"
77,미녀는 괴로워,2006-12-14,"멜로/로맨스,코미디",12세이상관람가,한국,필름,김용화,"김아중,주진모"
78,전우치,2009-12-23,"액션,코미디,판타지",12세이상관람가,한국,"필름,2D,4D",최동훈,"강동원,임수정(서인경 ),김윤석(화담),유해진,김시권,주진모(무당),선우선"
79,연평해전,2015-06-24,드라마,12세이상관람가,한국,"필름,2D,3D",김학순,"김무열(윤영하),진구(한상국),이현우(박동혁),이완"
80,인셉션,2010-07-21,"드라마,미스터리",12세이상관람가,미국,"필름,2D,4D,IMAX",크리스토퍼 놀란,레오나르도 디카프리오(코브)
81,레미제라블,2012-12-19,드라마,12세이상관람가,미국,"필름,2D,IMAX",톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터"
82,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"액션,어드벤처,판타지",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",샘 레이미,"베네딕트 컴버배치(닥터 스트레인지),엘리자베스 올슨(완다 막시모프/스칼렛 위치),베네딕트 웡(웡),레이첼 맥아담스(크리스틴 팔머),치웨텔 에지오포(모르도 남작),소치틀 고메즈(아메리카 차베즈)"
83,캡틴 마블,2019-03-06,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX,ScreenX","애너 보든,라이언 플렉","브리 라슨,사무엘 L. 잭슨,벤 멘델슨,주드 로"
84,타짜,2006-09-28,드라마,18세관람가,한국,"필름,2D",최동훈,"조승우(고니),김혜수(정 마담),백윤식(평경장),유해진(고광렬),이수경(화란)"
85,쥬라기 월드: 폴른 킹덤,2018-06-06,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼"
86,청년경찰,2017-08-09,액션,15세이상관람가,한국,2D,김주환,"박서준(기준),강하늘(희열),성동일,박하선"
87,숨바꼭질,2013-08-14,스릴러,15세이상관람가,한국,"필름,2D",허정,"손현주,문정희,전미선(민지)"
88,덕혜옹주,2016-08-03,"사극,드라마",12세이상관람가,한국,2D,허진호,"손예진(덕혜옹주),박해일(김장한)"
89,더 테러 라이브,2013-07-31,"범죄,기타",15세이상관람가,한국,"필름,2D",김병우,"하정우(윤영화),이경영(차대은),전혜진(박정민),이다윗(박신우)"
90,쥬라기 월드,2015-06-11,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오"
91,감시자들,2013-07-03,"범죄,액션",15세이상관람가,한국,"필름,2D","조의석,김병서","설경구(황반장),정우성(제임스),한효주(하윤주),진경(이실장),이준호(다람쥐)"
92,앤트맨과 와스프,2018-07-04,"액션,어드벤처,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,미셀 파이퍼,로렌스 피쉬번,해나 존-케이먼"
93,닥터 스트레인지,2016-10-26,"액션,어드벤처,판타지",12세이상관람가,미국,"2D,3D,4D,IMAX",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포"
94,검은 사제들,2015-11-05,"미스터리,드라마",15세이상관람가,한국,"필름,2D",장재현,"김윤석,강동원"
95,안시성,2018-09-19,"사극,액션",12세이상관람가,한국,"2D,4D",김광식,"조인성(양만춘),남주혁(사물),박성웅(당태종 이세민),김동진(군중 후시녹음 배우)"
96,의형제,2010-02-04,"드라마,액션",15세이상관람가,한국,"필름,2D",장훈,"송강호(이한규),강동원(송지원)"
97,블랙 팬서,2018-02-14,"액션,드라마,SF",12세이상관람가,미국,"2D,3D,4D,IMAX",라이언 쿠글러,채드윅 보스만(티찰라 / 블랙 팬서 역)
98,2012,2009-11-12,"SF,액션,어드벤처",12세이상관람가,미국,"필름,2D,3D",롤랜드 에머리히,"존 쿠삭 (잭슨 커티스 ),아만다 피트(케이트 커티스 ),올리버 플랫(칼 앤휴저 ),탠디 뉴튼(로라 윌슨 ),치웨텔 에지오포(애드리언 헬슬리 )"
99,더 킹,2017-01-18,"범죄,드라마",15세이상관람가,한국,2D,한재림,"조인성(박태수),정우성(한강식),배성우(양동철),류준열(최두일),김의성(김응수),이석호(2부 검사2)"
100,완득이,2011-10-20,드라마,12세이상관람가,한국,"필름,2D",이한,"김윤석(동주 ),유아인"
101,트랜스포머: 사라진 시대,2014-06-25,"액션,SF,어드벤처",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마이클 베이,"마크 월버그,니콜라 펠츠,잭 레이너,스탠리 투치,리빙빙"
102,완벽한 타인,2018-10-31,"드라마,코미디",15세이상관람가,한국,2D,이재규,"유해진,조진웅(석호),이서진(준모),염정아,김지수(예진),송하윤,윤경호(영배)"
103,조커,2019-10-02,"액션,드라마,스릴러",15세이상관람가,미국,"2D,IMAX",토드 필립스,"호아킨 피닉스,재지 비츠,로버트 드 니로,프란시스 콘로이,브렛 컬렌"
104,월드 워 Z,2013-06-20,"드라마,스릴러,SF,액션,어드벤처",15세이상관람가,미국,"필름,2D,3D,4D",마크 포스터,"브래드 피트(제리 레인),미레유 에노스(카린 레인),매튜 폭스"
105,타워,2012-12-25,드라마,12세이상관람가,한국,"필름,2D",김지훈,"설경구(강영기 ),손예진(서윤희 ),김상경(이대호 ),차인표(조사장),조민아(이하나)"
106,미녀와 야수,2017-03-16,"멜로/로맨스,판타지,뮤지컬",전체관람가,미국,"2D,3D,4D,IMAX",빌 콘돈,"엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,구구 바샤-로,케빈 클라인,스탠리 투치"
107,미션 임파서블 3,2006-05-03,액션,15세관람가,미국,"필름,2D",J.J. 에이브럼스,톰 크루즈(에단 헌트)
108,투사부일체,2006-01-19,코미디,15세관람가,한국,필름,김동원,"정준호,정웅인,김상중"
109,쿵푸팬더 2,2011-05-26,"애니메이션,액션,어드벤처,코미디,가족",전체관람가,미국,"필름,2D,3D,4D,IMAX",여인영,"더스틴 호프만(렛서팬더/사부, 시푸 ),잭 블랙(팬더곰, 포),안젤리나 졸리(호랑이, 타이그리스 목소리 ),성룡(원숭이,몽키 목소리)"
110,독전,2018-05-22,"범죄,액션",15세이상관람가,한국,2D,이해영,"조진웅(원호),류준열(락),김주혁(하림),김성령(오연옥),박해준(박선창),차승원(브라이언),진서연"
111,추격자,2008-02-14,"범죄,스릴러,액션",청소년관람불가,한국,"필름,2D",나홍진,"김윤석(전직 형사, 엄중호),하정우(연쇄살인범, 지영민)"
112,아쿠아맨,2018-12-19,액션,12세이상관람가,"미국,호주","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",제임스 완,"제이슨 모모아,앰버 허드,니콜 키드먼,패트릭 윌슨,윌렘 데포,돌프 룬드그렌"
113,공작,2018-08-08,드라마,12세이상관람가,한국,2D,윤종빈,"황정민,이성민(리명운),조진웅(학성),주지훈"
114,인사이드 아웃,2015-07-09,"애니메이션,코미디",전체관람가,미국,"필름,2D,3D,IMAX",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더"
115,킹스맨: 골든 서클,2017-09-27,"액션,어드벤처,코미디",청소년관람불가,"미국,영국","2D,4D,IMAX",매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스"
116,바람과 함께 사라지다,2012-08-08,"코미디,사극",12세이상관람가,한국,"필름,2D",김주호,"차태현(이덕무),오지호(백동수),민효린(백수련),성동일(장수균),고창석(홍석창),송종호(김재준),이채영(유설화),김길동(김철주),김향기(난이)"
117,마션,2015-10-08,"액션,어드벤처,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그"
118,토르: 라그나로크,2017-10-25,"액션,어드벤처,판타지,SF",12세이상관람가,미국,"2D,4D,IMAX",타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스"
119,어메이징 스파이더맨,2012-06-28,액션,12세이상관람가,미국,"필름,2D,3D,4D,IMAX",마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드"
120,"님아, 그 강을 건너지 마오",2014-11-27,다큐멘터리,전체관람가,한국,"필름,2D",진모영,"조병만,강계열"
121,봉오동 전투,2019-08-07,"사극,액션,드라마",15세이상관람가,한국,2D,원신연,"유해진(황해철),류준열(이장하),조우진(마병구)"
122,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"코미디,액션",12세이상관람가,한국,"필름,2D",김석윤,"김명민(명탐정),한지민(한객주),오달수(개장수)"
123,군도: 민란의 시대,2014-07-23,"사극,액션",15세이상관람가,한국,"필름,2D,4D",윤종빈,"하정우,강동원,조진웅(이태기),마동석,정만식(양 집사),김성균,주진모,이경영(땡추)"
124,남산의 부장들,2020-01-22,드라마,15세이상관람가,한국,2D,우민호,"이병헌(김규평),이성민(박통),곽도원(박용각),이희준(곽상천),김소진(데보라 심)"
125,라이온 킹,2019-07-17,"어드벤처,드라마,가족",전체관람가,미국,"2D,3D,4D,IMAX",존 파브로,"도날드 글로버,비욘세 놀즈,제임스 얼 존스,치웨텔 에지오포,세스 로건"
126,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"범죄,드라마",청소년관람불가,한국,"필름,2D",윤종빈,"최민식(최익현 ),하정우(최형배 )"
127,주토피아,2016-02-17,"애니메이션,액션,어드벤처",전체관람가,미국,"2D,3D,4D","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
128,엣지 오브 투모로우,2014-06-04,"액션,SF",12세이상관람가,미국,"필름,2D,3D,4D,IMAX",더그 라이만,"톰 크루즈,에밀리 블런트,빌 팩스톤"
129,신세계,2013-02-21,"범죄,액션",청소년관람불가,한국,"필름,2D",박훈정,"이정재(이자성),최민식(강과장),황정민(정청)"
130,신비한 동물사전,2016-11-16,"어드벤처,가족,판타지",12세이상관람가,"미국,영국","2D,3D,4D,IMAX",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
131,도가니,2011-09-22,드라마,청소년관람불가,한국,"필름,2D",황동혁,"정유미(서유진),공유"
132,쿵푸 팬더,2008-06-05,"애니메이션,코미디,액션,가족",전체관람가,미국,"필름,2D,IMAX","마크 오스본,존 스티븐슨","더스틴 호프만,루시 루,잭 블랙,안젤리나 졸리,성룡,김기현"
133,내 아내의 모든 것,2012-05-17,"코미디,멜로/로맨스",15세이상관람가,한국,"필름,2D",민규동,"임수정(정인),이선균(두현),류승룡(성기)"
134,스파이더맨 3,2007-05-01,"액션,SF",12세이상관람가,미국,필름,샘 레이미,"토비 맥과이어,커스틴 던스트"
135,판도라,2016-12-07,"드라마,스릴러",12세이상관람가,한국,"2D,4D",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민"
136,맘마미아!,2008-09-03,"멜로/로맨스,뮤지컬",12세이상관람가,미국,"필름,2D",필리다 로이드,"아만다 사이프리드,메릴 스트립,콜린 퍼스"
