,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일
1771,2008-09-11 00:00:00,7,54,1451967500,231240,Thursday
1772,2008-09-12 00:00:00,0,55,3172813500,481999,Friday
1773,2008-09-13 00:00:00,0,50,4538972000,680145,Saturday
1774,2008-09-14 00:00:00,0,47,6049860500,885110,Sunday
1775,2008-09-15 00:00:00,0,48,7509003500,1124207,Monday
1776,2008-09-16 00:00:00,0,55,3387305500,546646,Tuesday
1777,2008-09-17 00:00:00,0,56,1346552500,212000,Wednesday
1778,2008-09-18 00:00:00,7,48,1344229500,220486,Thursday
1779,2008-09-19 00:00:00,0,43,1641679000,246096,Friday
1780,2008-09-20 00:00:00,0,49,4395618600,673063,Saturday
1781,2008-09-21 00:00:00,0,51,3966131000,592749,Sunday
1782,2008-09-22 00:00:00,0,46,985762000,154791,Monday
1783,2008-09-23 00:00:00,0,52,1009226100,160864,Tuesday
1784,2008-09-24 00:00:00,0,58,1014099500,159983,Wednesday
1785,2008-09-25 00:00:00,7,59,1400891000,225757,Thursday
1786,2008-09-26 00:00:00,0,49,1767720500,264896,Friday
1787,2008-09-27 00:00:00,0,55,3778341500,565471,Saturday
1788,2008-09-28 00:00:00,0,57,3420565000,503567,Sunday
1789,2008-09-29 00:00:00,0,55,1012094500,160007,Monday
1790,2008-09-30 00:00:00,0,51,1045114000,165232,Tuesday
1792,2008-10-01 00:00:00,0,50,1073872000,172259,Wednesday
1793,2008-10-02 00:00:00,4,53,1680956000,272002,Thursday
1794,2008-10-03 00:00:00,1,51,3815963000,565211,Friday
1795,2008-10-04 00:00:00,0,53,3343723500,500947,Saturday
1796,2008-10-05 00:00:00,0,55,2912473000,427014,Sunday
1797,2008-10-06 00:00:00,0,57,955686500,153725,Monday
1798,2008-10-07 00:00:00,0,62,960189000,154966,Tuesday
1799,2008-10-08 00:00:00,0,60,998620000,161664,Wednesday
1800,2008-10-09 00:00:00,4,59,1304835500,215371,Thursday
1801,2008-10-10 00:00:00,0,57,1824896000,282338,Friday
1802,2008-10-11 00:00:00,0,53,3673505000,556586,Saturday
1803,2008-10-12 00:00:00,0,57,3106909500,461812,Sunday
1804,2008-10-13 00:00:00,0,57,989603500,159085,Monday
1805,2008-10-14 00:00:00,0,57,939178600,152256,Tuesday
1806,2008-10-15 00:00:00,0,66,919081500,149537,Wednesday
1807,2008-10-16 00:00:00,9,49,1248845500,208846,Thursday
1808,2008-10-17 00:00:00,0,50,1513026000,230181,Friday
1809,2008-10-18 00:00:00,0,55,3389733500,522703,Saturday
1810,2008-10-19 00:00:00,0,55,2814967000,415169,Sunday
1811,2008-10-20 00:00:00,0,48,869393000,139181,Monday
1812,2008-10-21 00:00:00,0,56,917773500,148784,Tuesday
1813,2008-10-22 00:00:00,0,55,1032555000,166316,Wednesday
1814,2008-10-23 00:00:00,11,71,1500431000,242908,Thursday
1815,2008-10-24 00:00:00,0,66,1960074000,300033,Friday
1816,2008-10-25 00:00:00,0,69,3772681000,559074,Saturday
1817,2008-10-26 00:00:00,0,69,3219860500,471231,Sunday
1818,2008-10-27 00:00:00,0,59,1054793000,173250,Monday
1819,2008-10-28 00:00:00,0,67,1101976000,177610,Tuesday
1820,2008-10-29 00:00:00,1,67,1064363200,169953,Wednesday
1821,2008-10-30 00:00:00,9,65,1183142500,195428,Thursday
1822,2008-10-31 00:00:00,0,60,1595068000,239185,Friday
1824,2008-11-01 00:00:00,0,57,3310901500,497233,Saturday
1825,2008-11-02 00:00:00,0,61,2866541500,418529,Sunday
1826,2008-11-03 00:00:00,0,62,892674500,143479,Monday
1827,2008-11-04 00:00:00,0,65,890788500,143885,Tuesday
1828,2008-11-05 00:00:00,1,67,1225091000,196869,Wednesday
1829,2008-11-06 00:00:00,7,62,1253568600,205432,Thursday
1830,2008-11-07 00:00:00,0,58,1624877500,241868,Friday
1831,2008-11-08 00:00:00,0,58,3765571000,559996,Saturday
1832,2008-11-09 00:00:00,0,61,3146474500,460867,Sunday
1833,2008-11-10 00:00:00,0,59,942934500,153216,Monday
1834,2008-11-11 00:00:00,0,61,1041856500,166877,Tuesday
1835,2008-11-12 00:00:00,0,67,1021049000,164249,Wednesday
1836,2008-11-13 00:00:00,6,54,2061703500,344994,Thursday
1837,2008-11-14 00:00:00,0,66,2098845000,315893,Friday
1838,2008-11-15 00:00:00,0,54,4316201000,663648,Saturday
1839,2008-11-16 00:00:00,0,56,3555398000,526732,Sunday
1840,2008-11-17 00:00:00,0,53,1214776500,194617,Monday
1841,2008-11-18 00:00:00,0,66,1269791000,204519,Tuesday
1842,2008-11-19 00:00:00,0,59,1258721500,200736,Wednesday
1843,2008-11-20 00:00:00,8,56,1514785000,245326,Thursday
1844,2008-11-21 00:00:00,0,58,1902655500,285119,Friday
1845,2008-11-22 00:00:00,0,58,3845076500,572918,Saturday
1846,2008-11-23 00:00:00,0,61,3257181500,477445,Sunday
1847,2008-11-24 00:00:00,0,55,1175907100,190989,Monday
1848,2008-11-25 00:00:00,0,62,1185798500,195121,Tuesday
1849,2008-11-26 00:00:00,0,69,1196211500,195328,Wednesday
1850,2008-11-27 00:00:00,8,74,1466272000,245430,Thursday
1851,2008-11-28 00:00:00,0,78,1699243000,258965,Friday
1852,2008-11-29 00:00:00,0,69,3620073500,548292,Saturday
1853,2008-11-30 00:00:00,0,71,3087649250,454016,Sunday
1855,2008-12-01 00:00:00,0,71,919048200,148617,Monday
1856,2008-12-02 00:00:00,0,77,965896000,157336,Tuesday
1857,2008-12-03 00:00:00,3,72,1067724000,171066,Wednesday
1858,2008-12-04 00:00:00,3,74,1243655000,204634,Thursday
1859,2008-12-05 00:00:00,0,56,1526588750,231148,Friday
1860,2008-12-06 00:00:00,0,57,3487597000,519360,Saturday
1861,2008-12-07 00:00:00,0,57,3125683950,453670,Sunday
1862,2008-12-08 00:00:00,0,70,1058365000,169914,Monday
1863,2008-12-09 00:00:00,0,68,1144559000,183051,Tuesday
1864,2008-12-10 00:00:00,3,69,1349096000,211002,Wednesday
1865,2008-12-11 00:00:00,3,62,1719069000,277990,Thursday
1866,2008-12-12 00:00:00,0,58,2271980000,344838,Friday
1867,2008-12-13 00:00:00,0,61,4768671500,720293,Saturday
1868,2008-12-14 00:00:00,0,59,4228442000,625032,Sunday
1869,2008-12-15 00:00:00,0,58,1455632500,228128,Monday
1870,2008-12-16 00:00:00,0,60,1629414500,259052,Tuesday
1871,2008-12-17 00:00:00,3,59,1751133500,276188,Wednesday
1872,2008-12-18 00:00:00,2,53,2081891500,335194,Thursday
1873,2008-12-19 00:00:00,0,55,2455716300,375524,Friday
1874,2008-12-20 00:00:00,0,54,5718425300,865712,Saturday
1875,2008-12-21 00:00:00,0,53,5656199700,853036,Sunday
1876,2008-12-22 00:00:00,0,58,1708072100,271619,Monday
1877,2008-12-23 00:00:00,0,61,1933488700,312128,Tuesday
1878,2008-12-24 00:00:00,8,50,5175595500,807567,Wednesday
1879,2008-12-25 00:00:00,0,54,10636587800,1628074,Thursday
1880,2008-12-26 00:00:00,1,54,3075166400,465887,Friday
1881,2008-12-27 00:00:00,0,51,5619075200,851576,Saturday
1882,2008-12-28 00:00:00,0,53,4952646000,740411,Sunday
1883,2008-12-29 00:00:00,0,52,1990831500,313208,Monday
1884,2008-12-30 00:00:00,1,53,2861949000,448806,Tuesday
1885,2008-12-31 00:00:00,3,53,4376262000,681115,Wednesday
1887,2009-01-01 00:00:00,0,53,7220560000,1060574,Thursday
1888,2009-01-02 00:00:00,0,50,3931920000,582335,Friday
1889,2009-01-03 00:00:00,0,52,5882193000,877019,Saturday
1890,2009-01-04 00:00:00,0,51,4854602500,716002,Sunday
1891,2009-01-05 00:00:00,0,53,1691801000,262574,Monday
1892,2009-01-06 00:00:00,0,52,1743719500,272080,Tuesday
1893,2009-01-07 00:00:00,0,56,1708458000,266252,Wednesday
1894,2009-01-08 00:00:00,6,50,2157360500,343705,Thursday
1895,2009-01-09 00:00:00,0,50,2510814000,375427,Friday
1896,2009-01-10 00:00:00,0,50,6057512500,908140,Saturday
1897,2009-01-11 00:00:00,0,49,5301264500,793022,Sunday
1898,2009-01-12 00:00:00,0,53,1532823500,239931,Monday
1899,2009-01-13 00:00:00,0,53,1620210500,254837,Tuesday
1900,2009-01-14 00:00:00,0,56,1572138000,247253,Wednesday
1901,2009-01-15 00:00:00,5,54,1581804500,254259,Thursday
1902,2009-01-16 00:00:00,0,48,1972059000,295536,Friday
1903,2009-01-17 00:00:00,0,49,4590023800,690609,Saturday
1904,2009-01-18 00:00:00,0,52,4074803500,606969,Sunday
1905,2009-01-19 00:00:00,0,56,1172243500,183701,Monday
1906,2009-01-20 00:00:00,0,58,1214437400,192452,Tuesday
1907,2009-01-21 00:00:00,0,55,1185069500,187720,Wednesday
1908,2009-01-22 00:00:00,5,48,2693475000,427382,Thursday
1909,2009-01-23 00:00:00,0,46,3265012000,485718,Friday
1910,2009-01-24 00:00:00,0,45,5945593000,886835,Saturday
1911,2009-01-25 00:00:00,0,43,4929512700,723239,Sunday
1912,2009-01-26 00:00:00,0,44,6707949000,968289,Monday
1913,2009-01-27 00:00:00,0,45,8001541800,1186939,Tuesday
1914,2009-01-28 00:00:00,0,50,3282181800,512801,Wednesday
1915,2009-01-29 00:00:00,6,55,2399046000,381659,Thursday
1916,2009-01-30 00:00:00,0,54,2625898000,395432,Friday
1917,2009-01-31 00:00:00,0,57,6265037500,946903,Saturday
1919,2009-02-01 00:00:00,0,54,4858571600,731336,Sunday
1920,2009-02-02 00:00:00,0,53,1457441600,232093,Monday
1921,2009-02-03 00:00:00,0,57,1437498000,227072,Tuesday
1922,2009-02-04 00:00:00,0,57,1449419000,228346,Wednesday
1923,2009-02-05 00:00:00,7,61,1780177700,284712,Thursday
1924,2009-02-06 00:00:00,0,58,2021957800,302086,Friday
1925,2009-02-07 00:00:00,0,57,4409363000,650742,Saturday
1926,2009-02-08 00:00:00,0,59,3981460000,588990,Sunday
1927,2009-02-09 00:00:00,0,58,1298411500,203011,Monday
1928,2009-02-10 00:00:00,0,58,1346327200,211717,Tuesday
1929,2009-02-11 00:00:00,0,62,1275497500,200456,Wednesday
1930,2009-02-12 00:00:00,6,52,2049224500,326854,Thursday
1931,2009-02-13 00:00:00,0,50,2368317000,350642,Friday
1932,2009-02-14 00:00:00,0,47,6044438500,899836,Saturday
1933,2009-02-15 00:00:00,0,48,4820661500,717201,Sunday
1934,2009-02-16 00:00:00,0,49,1654911100,260962,Monday
1935,2009-02-17 00:00:00,0,54,1755035100,278648,Tuesday
1936,2009-02-18 00:00:00,0,56,1778579000,282236,Wednesday
1937,2009-02-19 00:00:00,8,52,1934296700,311609,Thursday
1938,2009-02-20 00:00:00,0,48,2291543600,344089,Friday
1939,2009-02-21 00:00:00,0,52,5027842000,752385,Saturday
1940,2009-02-22 00:00:00,0,47,4792166500,711585,Sunday
1941,2009-02-23 00:00:00,0,52,1697767500,271398,Monday
1942,2009-02-24 00:00:00,0,51,1701706000,274085,Tuesday
1943,2009-02-25 00:00:00,0,53,1650643500,265368,Wednesday
1944,2009-02-26 00:00:00,6,54,1794824300,293860,Thursday
1945,2009-02-27 00:00:00,0,52,2039683600,312706,Friday
1946,2009-02-28 00:00:00,0,55,4272148500,642277,Saturday
1948,2009-03-01 00:00:00,0,57,3596358000,531677,Sunday
1949,2009-03-02 00:00:00,0,55,984667000,153183,Monday
1950,2009-03-03 00:00:00,0,59,963794300,151366,Tuesday
1951,2009-03-04 00:00:00,0,63,918027500,143626,Wednesday
1952,2009-03-05 00:00:00,6,51,1091355200,171638,Thursday
1953,2009-03-06 00:00:00,0,49,1295396000,189146,Friday
1954,2009-03-07 00:00:00,0,52,3181408500,463163,Saturday
1955,2009-03-08 00:00:00,0,52,2961033000,431878,Sunday
1956,2009-03-09 00:00:00,0,52,684644500,108062,Monday
1957,2009-03-10 00:00:00,0,56,718330500,113404,Tuesday
1958,2009-03-11 00:00:00,1,57,815452000,127331,Wednesday
1959,2009-03-12 00:00:00,11,61,980890000,158910,Thursday
1960,2009-03-13 00:00:00,0,58,1501892500,222188,Friday
1961,2009-03-14 00:00:00,0,59,4576921100,676567,Saturday
1962,2009-03-15 00:00:00,0,61,3176475000,469951,Sunday
1963,2009-03-16 00:00:00,0,62,763179100,119726,Monday
1964,2009-03-17 00:00:00,0,58,746186000,118482,Tuesday
1965,2009-03-18 00:00:00,0,58,708458500,111474,Wednesday
1966,2009-03-19 00:00:00,8,56,1131748500,181626,Thursday
1967,2009-03-20 00:00:00,0,59,1444096000,212136,Friday
1968,2009-03-21 00:00:00,0,61,3504983500,519108,Saturday
1969,2009-03-22 00:00:00,0,58,3306326600,482654,Sunday
1970,2009-03-23 00:00:00,0,59,830020500,129643,Monday
1971,2009-03-24 00:00:00,0,58,746872500,117016,Tuesday
1972,2009-03-25 00:00:00,0,54,875740500,136606,Wednesday
1973,2009-03-26 00:00:00,7,60,1108405000,178471,Thursday
1974,2009-03-27 00:00:00,0,59,1469949100,216329,Friday
1975,2009-03-28 00:00:00,0,64,3400652200,500757,Saturday
1976,2009-03-29 00:00:00,0,60,2935983600,428154,Sunday
1977,2009-03-30 00:00:00,0,70,826336500,129435,Monday
1978,2009-03-31 00:00:00,0,67,882983500,139090,Tuesday
1980,2009-04-01 00:00:00,0,68,836298000,132106,Wednesday
1981,2009-04-02 00:00:00,4,57,1176893500,184259,Thursday
1982,2009-04-03 00:00:00,0,64,1557201500,229269,Friday
1983,2009-04-04 00:00:00,0,62,3575354500,532195,Saturday
1984,2009-04-05 00:00:00,0,61,2874127500,417241,Sunday
1985,2009-04-06 00:00:00,0,66,869715175,136671,Monday
1986,2009-04-07 00:00:00,0,58,845403000,134572,Tuesday
1987,2009-04-08 00:00:00,0,66,934534000,148521,Wednesday
1988,2009-04-09 00:00:00,6,75,876728500,138040,Thursday
1989,2009-04-10 00:00:00,0,76,1275377500,190092,Friday
1990,2009-04-11 00:00:00,0,78,3011960100,444489,Saturday
1991,2009-04-12 00:00:00,0,78,2623412000,383194,Sunday
1992,2009-04-13 00:00:00,0,84,756410500,118335,Monday
1993,2009-04-14 00:00:00,0,79,783612500,123737,Tuesday
1994,2009-04-15 00:00:00,1,75,900931000,140692,Wednesday
1995,2009-04-16 00:00:00,8,52,1106699475,173746,Thursday
1996,2009-04-17 00:00:00,0,61,1441263500,213183,Friday
1997,2009-04-18 00:00:00,0,52,3425363400,521529,Saturday
1998,2009-04-19 00:00:00,0,55,2795252500,405221,Sunday
1999,2009-04-20 00:00:00,0,57,931241100,147229,Monday
2000,2009-04-21 00:00:00,0,60,899382500,142844,Tuesday
2001,2009-04-22 00:00:00,1,62,990279200,155735,Wednesday
2002,2009-04-23 00:00:00,4,45,1166433000,182412,Thursday
2003,2009-04-24 00:00:00,0,44,1867409000,275568,Friday
2004,2009-04-25 00:00:00,0,49,4590771500,670251,Saturday
2005,2009-04-26 00:00:00,0,47,3882509000,562533,Sunday
2006,2009-04-27 00:00:00,0,48,1006957500,156549,Monday
2007,2009-04-28 00:00:00,0,53,1074182000,167743,Tuesday
2008,2009-04-29 00:00:00,1,48,1303648500,205186,Wednesday
2009,2009-04-30 00:00:00,7,43,2645060500,415531,Thursday
2011,2009-05-01 00:00:00,1,49,4741789000,708141,Friday
2012,2009-05-02 00:00:00,0,46,6929353500,1030483,Saturday
2013,2009-05-03 00:00:00,0,49,5621680500,828963,Sunday
2014,2009-05-04 00:00:00,0,52,4163997000,658600,Monday
2015,2009-05-05 00:00:00,0,52,7428582500,1119420,Tuesday
2016,2009-05-06 00:00:00,0,51,1300269700,204209,Wednesday
2017,2009-05-07 00:00:00,3,52,1367446500,214904,Thursday
2018,2009-05-08 00:00:00,0,48,1933748000,291826,Friday
2019,2009-05-09 00:00:00,1,51,4883186500,727831,Saturday
2020,2009-05-10 00:00:00,0,51,4339727500,641419,Sunday
2021,2009-05-11 00:00:00,1,45,1249994500,196134,Monday
2022,2009-05-12 00:00:00,0,47,1299798500,204997,Tuesday
2023,2009-05-13 00:00:00,0,52,1224901000,192841,Wednesday
2024,2009-05-14 00:00:00,8,49,1653213500,261613,Thursday
2025,2009-05-15 00:00:00,0,46,2623575000,394518,Friday
2026,2009-05-16 00:00:00,0,48,5704090500,864243,Saturday
2027,2009-05-17 00:00:00,0,52,5210374500,773163,Sunday
2028,2009-05-18 00:00:00,0,50,1346620000,211150,Monday
2029,2009-05-19 00:00:00,0,50,1260702500,199410,Tuesday
2030,2009-05-20 00:00:00,0,52,1284443500,202161,Wednesday
2031,2009-05-21 00:00:00,5,60,2649413500,413890,Thursday
2032,2009-05-22 00:00:00,0,52,3088668500,459882,Friday
2033,2009-05-23 00:00:00,0,51,7081513500,1068512,Saturday
2034,2009-05-24 00:00:00,0,53,6259121500,936197,Sunday
2035,2009-05-25 00:00:00,0,58,1605895500,249697,Monday
2036,2009-05-26 00:00:00,0,56,1480221500,231231,Tuesday
2037,2009-05-27 00:00:00,0,57,1450862500,227266,Wednesday
2038,2009-05-28 00:00:00,4,56,2382464500,372071,Thursday
2039,2009-05-29 00:00:00,0,52,2780871500,409063,Friday
2040,2009-05-30 00:00:00,0,52,6427599500,956570,Saturday
2041,2009-05-31 00:00:00,0,54,6029716500,896127,Sunday
2043,2009-06-01 00:00:00,0,51,1629778500,255077,Monday
2044,2009-06-02 00:00:00,0,53,1483978500,233928,Tuesday
2045,2009-06-03 00:00:00,0,53,1554357000,243676,Wednesday
2046,2009-06-04 00:00:00,8,53,1642609500,258314,Thursday
2047,2009-06-05 00:00:00,1,49,2554617000,387662,Friday
2048,2009-06-06 00:00:00,0,50,7097480000,1088113,Saturday
2049,2009-06-07 00:00:00,0,50,5097512000,770274,Sunday
2050,2009-06-08 00:00:00,0,50,1159691500,183808,Monday
2051,2009-06-09 00:00:00,0,54,1112868500,176394,Tuesday
2052,2009-06-10 00:00:00,0,49,1104835500,175140,Wednesday
2053,2009-06-11 00:00:00,8,52,1513477000,237668,Thursday
2054,2009-06-12 00:00:00,0,51,2100878000,312062,Friday
2055,2009-06-13 00:00:00,0,53,5134290000,774905,Saturday
2056,2009-06-14 00:00:00,0,56,4378804500,655165,Sunday
2057,2009-06-15 00:00:00,0,54,1239514000,194113,Monday
2058,2009-06-16 00:00:00,0,52,1216266500,192483,Tuesday
2059,2009-06-17 00:00:00,0,56,1243379500,196479,Wednesday
2060,2009-06-18 00:00:00,8,58,1433762500,224262,Thursday
2061,2009-06-19 00:00:00,0,54,1880605000,277493,Friday
2062,2009-06-20 00:00:00,0,54,4731209000,726130,Saturday
2063,2009-06-21 00:00:00,0,56,4115638500,607966,Sunday
2064,2009-06-22 00:00:00,0,59,1271368500,199135,Monday
2065,2009-06-23 00:00:00,0,53,1195731000,189254,Tuesday
2066,2009-06-24 00:00:00,2,50,3734237000,576974,Wednesday
2067,2009-06-25 00:00:00,3,50,3055523000,470938,Thursday
2068,2009-06-26 00:00:00,0,54,3675000500,539516,Friday
2069,2009-06-27 00:00:00,0,52,7713223500,1158187,Saturday
2070,2009-06-28 00:00:00,0,50,6816677000,1009873,Sunday
2071,2009-06-29 00:00:00,0,51,2234101500,340086,Monday
2072,2009-06-30 00:00:00,0,54,2008450500,308407,Tuesday
2074,2009-07-01 00:00:00,2,49,1958743000,294409,Wednesday
2075,2009-07-02 00:00:00,0,53,1971519500,296496,Thursday
2076,2009-07-03 00:00:00,0,49,2622726000,366241,Friday
2077,2009-07-04 00:00:00,0,49,6282343000,894417,Saturday
2078,2009-07-05 00:00:00,0,50,5961484000,859221,Sunday
2079,2009-07-06 00:00:00,0,50,1503534000,216241,Monday
2080,2009-07-07 00:00:00,0,49,1681980000,244053,Tuesday
2081,2009-07-08 00:00:00,0,50,1485817000,214947,Wednesday
2082,2009-07-09 00:00:00,6,51,1825475500,262734,Thursday
2083,2009-07-10 00:00:00,0,53,2490731000,346147,Friday
2084,2009-07-11 00:00:00,0,53,6168644500,890643,Saturday
2085,2009-07-12 00:00:00,0,55,5054366500,711505,Sunday
2086,2009-07-13 00:00:00,0,49,1334095500,192379,Monday
2087,2009-07-14 00:00:00,0,54,1190089000,172254,Tuesday
2088,2009-07-15 00:00:00,4,58,3227326000,468488,Wednesday
2089,2009-07-16 00:00:00,1,51,2830745600,409672,Thursday
2090,2009-07-17 00:00:00,0,51,3370626600,477561,Friday
2091,2009-07-18 00:00:00,0,54,7132380500,1009023,Saturday
2092,2009-07-19 00:00:00,0,51,6903977000,984016,Sunday
2093,2009-07-20 00:00:00,0,53,2103123000,306825,Monday
2094,2009-07-21 00:00:00,0,56,2055979000,301529,Tuesday
2095,2009-07-22 00:00:00,2,49,2508649000,361260,Wednesday
2096,2009-07-23 00:00:00,3,48,3111397000,448368,Thursday
2097,2009-07-24 00:00:00,0,44,3692638500,510494,Friday
2098,2009-07-25 00:00:00,0,47,7710168500,1079452,Saturday
2099,2009-07-26 00:00:00,0,44,7478935000,1045637,Sunday
2100,2009-07-27 00:00:00,0,46,3110196500,441891,Monday
2101,2009-07-28 00:00:00,0,52,3238295700,464093,Tuesday
2102,2009-07-29 00:00:00,4,44,3949610000,566394,Wednesday
2103,2009-07-30 00:00:00,3,45,4852517000,704509,Thursday
2104,2009-07-31 00:00:00,0,45,5747839500,808220,Friday
2106,2009-08-01 00:00:00,0,45,9032470000,1247660,Saturday
2107,2009-08-02 00:00:00,0,42,8264526000,1129045,Sunday
2108,2009-08-03 00:00:00,0,43,5465546500,774869,Monday
2109,2009-08-04 00:00:00,0,48,5352934500,764043,Tuesday
2110,2009-08-05 00:00:00,0,45,5079318500,721629,Wednesday
2111,2009-08-06 00:00:00,8,53,5222500000,740671,Thursday
2112,2009-08-07 00:00:00,0,52,6005863000,820847,Friday
2113,2009-08-08 00:00:00,0,54,9876903000,1362785,Saturday
2114,2009-08-09 00:00:00,0,52,9022873500,1237353,Sunday
2115,2009-08-10 00:00:00,0,55,3847649000,543299,Monday
2116,2009-08-11 00:00:00,0,53,3897438000,551738,Tuesday
2117,2009-08-12 00:00:00,4,58,4168777000,586949,Wednesday
2118,2009-08-13 00:00:00,3,59,3981864500,569624,Thursday
2119,2009-08-14 00:00:00,0,52,4835542500,667821,Friday
2120,2009-08-15 00:00:00,0,55,9749862000,1351132,Saturday
2121,2009-08-16 00:00:00,0,52,8246189000,1127541,Sunday
2122,2009-08-17 00:00:00,0,60,3207925500,458639,Monday
2123,2009-08-18 00:00:00,0,58,3079578000,442189,Tuesday
2124,2009-08-19 00:00:00,0,63,2933271500,420332,Wednesday
2125,2009-08-20 00:00:00,8,61,2957666500,420063,Thursday
2126,2009-08-21 00:00:00,0,60,3454072500,473645,Friday
2127,2009-08-22 00:00:00,0,56,7140770500,982985,Saturday
2128,2009-08-23 00:00:00,0,59,6434519000,877084,Sunday
2129,2009-08-24 00:00:00,0,67,2180944000,308223,Monday
2130,2009-08-25 00:00:00,0,65,2041061000,290365,Tuesday
2131,2009-08-26 00:00:00,0,65,1867367500,263158,Wednesday
2132,2009-08-27 00:00:00,7,70,2064210500,290184,Thursday
2133,2009-08-28 00:00:00,0,66,2343087500,315349,Friday
2134,2009-08-29 00:00:00,0,62,5361921000,728911,Saturday
2135,2009-08-30 00:00:00,0,69,5370702000,731968,Sunday
2136,2009-08-31 00:00:00,0,75,1540343000,218196,Monday
2138,2009-09-01 00:00:00,0,65,1327143500,190202,Tuesday
2139,2009-09-02 00:00:00,0,64,1236795500,174427,Wednesday
2140,2009-09-03 00:00:00,9,68,1270128000,179266,Thursday
2141,2009-09-04 00:00:00,0,66,1652213000,220797,Friday
2142,2009-09-05 00:00:00,0,61,4029348500,546416,Saturday
2143,2009-09-06 00:00:00,0,65,3919567800,530980,Sunday
2144,2009-09-07 00:00:00,0,65,1020350000,144143,Monday
2145,2009-09-08 00:00:00,0,66,974218800,139068,Tuesday
2146,2009-09-09 00:00:00,4,65,1197211000,172372,Wednesday
2147,2009-09-10 00:00:00,3,60,1281767000,180066,Thursday
2148,2009-09-11 00:00:00,0,58,1832688000,244543,Friday
2149,2009-09-12 00:00:00,1,65,4473607000,607410,Saturday
2150,2009-09-13 00:00:00,0,63,3780344000,507157,Sunday
2151,2009-09-14 00:00:00,0,65,1051712500,149094,Monday
2152,2009-09-15 00:00:00,0,76,1069758500,152021,Tuesday
2153,2009-09-16 00:00:00,0,71,1105629500,156526,Wednesday
2154,2009-09-17 00:00:00,7,63,1182524000,167555,Thursday
2155,2009-09-18 00:00:00,1,66,1519222000,202830,Friday
2156,2009-09-19 00:00:00,0,63,3488287500,476490,Saturday
2157,2009-09-20 00:00:00,0,62,3003247000,400016,Sunday
2158,2009-09-21 00:00:00,0,59,953764500,135849,Monday
2159,2009-09-22 00:00:00,0,64,923243500,133384,Tuesday
2160,2009-09-23 00:00:00,0,65,889782000,125239,Wednesday
2161,2009-09-24 00:00:00,7,59,1907041000,269037,Thursday
2162,2009-09-25 00:00:00,0,57,2282825100,306543,Friday
2163,2009-09-26 00:00:00,1,61,4708343000,632864,Saturday
2164,2009-09-27 00:00:00,0,62,4302678500,572475,Sunday
2165,2009-09-28 00:00:00,0,61,1289184500,183166,Monday
2166,2009-09-29 00:00:00,0,63,1344684500,197522,Tuesday
2167,2009-09-30 00:00:00,0,62,1646121500,239122,Wednesday
2169,2009-10-01 00:00:00,4,58,3355399000,468778,Thursday
2170,2009-10-02 00:00:00,0,58,4609256000,609446,Friday
2171,2009-10-03 00:00:00,0,56,6138490000,795931,Saturday
2172,2009-10-04 00:00:00,0,60,6306111000,829874,Sunday
2173,2009-10-05 00:00:00,0,62,3208712000,461446,Monday
2174,2009-10-06 00:00:00,0,57,1170466000,164126,Tuesday
2175,2009-10-07 00:00:00,0,62,1056791500,148119,Wednesday
2176,2009-10-08 00:00:00,6,64,1065907500,149963,Thursday
2177,2009-10-09 00:00:00,0,64,1520504500,205508,Friday
2178,2009-10-10 00:00:00,0,65,3482959500,472510,Saturday
2179,2009-10-11 00:00:00,0,65,2844072500,380232,Sunday
2180,2009-10-12 00:00:00,0,70,881308200,124457,Monday
2181,2009-10-13 00:00:00,0,73,822874000,115924,Tuesday
2182,2009-10-14 00:00:00,0,74,810925500,113921,Wednesday
2183,2009-10-15 00:00:00,7,58,1153193600,164473,Thursday
2184,2009-10-16 00:00:00,0,58,1420370500,190637,Friday
2185,2009-10-17 00:00:00,0,55,3369249500,462184,Saturday
2186,2009-10-18 00:00:00,0,51,2825692000,372454,Sunday
2187,2009-10-19 00:00:00,0,53,824465500,116180,Monday
2188,2009-10-20 00:00:00,0,53,831344000,118173,Tuesday
2189,2009-10-21 00:00:00,0,53,824446500,115840,Wednesday
2190,2009-10-22 00:00:00,9,52,1273082000,179450,Thursday
2191,2009-10-23 00:00:00,0,54,1865741900,255974,Friday
2192,2009-10-24 00:00:00,0,56,3823847800,519444,Saturday
2193,2009-10-25 00:00:00,0,54,3356952500,449611,Sunday
2194,2009-10-26 00:00:00,0,58,1007027000,142347,Monday
2195,2009-10-27 00:00:00,0,54,1030349000,146069,Tuesday
2196,2009-10-28 00:00:00,5,54,1158372000,161240,Wednesday
2197,2009-10-29 00:00:00,6,60,1219294000,171024,Thursday
2198,2009-10-30 00:00:00,0,60,1726485000,231220,Friday
2199,2009-10-31 00:00:00,0,61,3889617500,520531,Saturday
2201,2009-11-01 00:00:00,0,56,3370356000,443742,Sunday
2202,2009-11-02 00:00:00,0,59,928517100,130287,Monday
2203,2009-11-03 00:00:00,0,58,908699000,128195,Tuesday
2204,2009-11-04 00:00:00,0,61,910995000,126724,Wednesday
2205,2009-11-05 00:00:00,5,58,1022205500,142387,Thursday
2206,2009-11-06 00:00:00,0,50,1410096500,185966,Friday
2207,2009-11-07 00:00:00,0,55,3103902500,412422,Saturday
2208,2009-11-08 00:00:00,0,54,3030742000,394726,Sunday
