,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일
104,2004-04-11 00:00:00,0,14,745971000,119289,Sunday
105,2004-04-12 00:00:00,0,16,485524000,78448,Monday
106,2004-04-13 00:00:00,0,17,481918000,78256,Tuesday
107,2004-04-14 00:00:00,0,19,675059000,109226,Wednesday
108,2004-04-15 00:00:00,4,20,1589387000,251027,Thursday
109,2004-04-16 00:00:00,1,20,727252000,118175,Friday
110,2004-04-17 00:00:00,0,19,1373992500,214170,Saturday
111,2004-04-18 00:00:00,0,19,1209574000,184775,Sunday
112,2004-04-19 00:00:00,0,21,477792500,76218,Monday
113,2004-04-20 00:00:00,0,19,525352000,83492,Tuesday
114,2004-04-21 00:00:00,0,22,518947000,82895,Wednesday
115,2004-04-22 00:00:00,0,23,549168500,87990,Thursday
116,2004-04-23 00:00:00,10,21,786443500,127769,Friday
117,2004-04-24 00:00:00,0,21,1315216000,203349,Saturday
118,2004-04-25 00:00:00,0,21,1214380500,183797,Sunday
119,2004-04-26 00:00:00,0,21,434995500,68834,Monday
120,2004-04-27 00:00:00,0,21,472009500,74426,Tuesday
121,2004-04-28 00:00:00,0,23,472251000,76128,Wednesday
122,2004-04-29 00:00:00,0,25,503118500,80691,Thursday
123,2004-04-30 00:00:00,8,20,621306500,100825,Friday
125,2004-05-01 00:00:00,0,19,1097405000,167657,Saturday
126,2004-05-02 00:00:00,0,20,1029809000,155361,Sunday
127,2004-05-03 00:00:00,0,20,385590000,60442,Monday
128,2004-05-04 00:00:00,0,17,595348500,94038,Tuesday
129,2004-05-05 00:00:00,2,15,1443236000,221033,Wednesday
130,2004-05-06 00:00:00,0,16,496024000,79166,Thursday
131,2004-05-07 00:00:00,1,16,586042000,95022,Friday
132,2004-05-08 00:00:00,0,15,1079063000,165151,Saturday
133,2004-05-09 00:00:00,0,15,1175730500,177643,Sunday
134,2004-05-10 00:00:00,0,15,425949500,66939,Monday
135,2004-05-11 00:00:00,0,16,405921000,63888,Tuesday
136,2004-05-12 00:00:00,0,16,412794500,64737,Wednesday
137,2004-05-13 00:00:00,0,16,438821000,69360,Thursday
138,2004-05-14 00:00:00,3,16,635120500,101540,Friday
139,2004-05-15 00:00:00,0,16,1201472000,181406,Saturday
140,2004-05-16 00:00:00,0,17,1157408500,174531,Sunday
141,2004-05-17 00:00:00,0,16,394319500,62879,Monday
142,2004-05-18 00:00:00,0,18,376006000,59208,Tuesday
143,2004-05-19 00:00:00,0,21,411498500,64550,Wednesday
144,2004-05-20 00:00:00,0,18,556304000,86700,Thursday
145,2004-05-21 00:00:00,4,15,873647100,138281,Friday
146,2004-05-22 00:00:00,0,16,1422574500,219599,Saturday
147,2004-05-23 00:00:00,0,16,1343993000,204988,Sunday
148,2004-05-24 00:00:00,0,15,520493500,80835,Monday
149,2004-05-25 00:00:00,0,18,699074500,109327,Tuesday
150,2004-05-26 00:00:00,3,17,1480650000,228316,Wednesday
151,2004-05-27 00:00:00,0,16,473160000,73632,Thursday
152,2004-05-28 00:00:00,1,17,678952600,108982,Friday
153,2004-05-29 00:00:00,0,17,1268031500,194292,Saturday
154,2004-05-30 00:00:00,0,17,1178616000,179690,Sunday
155,2004-05-31 00:00:00,0,17,435246000,67973,Monday
157,2004-06-01 00:00:00,0,18,821606000,129788,Tuesday
158,2004-06-02 00:00:00,0,20,1022086000,164064,Wednesday
159,2004-06-03 00:00:00,2,17,1193359500,187432,Thursday
160,2004-06-04 00:00:00,2,16,1532771500,235879,Friday
161,2004-06-05 00:00:00,0,17,2819714000,437751,Saturday
162,2004-06-06 00:00:00,0,17,2658252000,412759,Sunday
163,2004-06-07 00:00:00,0,17,996750000,157465,Monday
164,2004-06-08 00:00:00,0,18,860360500,134751,Tuesday
165,2004-06-09 00:00:00,0,20,818576000,128327,Wednesday
166,2004-06-10 00:00:00,0,20,874389000,138303,Thursday
167,2004-06-11 00:00:00,4,18,1236212000,190430,Friday
168,2004-06-12 00:00:00,0,19,2580736500,402745,Saturday
169,2004-06-13 00:00:00,0,18,2359700500,366192,Sunday
170,2004-06-14 00:00:00,0,19,760615000,119416,Monday
171,2004-06-15 00:00:00,0,20,709787500,111791,Tuesday
172,2004-06-16 00:00:00,0,20,731599500,114971,Wednesday
173,2004-06-17 00:00:00,1,20,1036326000,163136,Thursday
174,2004-06-18 00:00:00,4,19,1501902000,232073,Friday
175,2004-06-19 00:00:00,1,18,2700989000,420314,Saturday
176,2004-06-20 00:00:00,0,19,2643025500,405752,Sunday
177,2004-06-21 00:00:00,0,18,1108049000,173458,Monday
178,2004-06-22 00:00:00,0,19,1004850500,157711,Tuesday
179,2004-06-23 00:00:00,0,16,945980500,148677,Wednesday
180,2004-06-24 00:00:00,0,21,944420500,148693,Thursday
181,2004-06-25 00:00:00,6,18,1234469000,190431,Friday
182,2004-06-26 00:00:00,0,16,2405780000,373788,Saturday
183,2004-06-27 00:00:00,0,15,2171043000,332548,Sunday
184,2004-06-28 00:00:00,0,15,902150500,142192,Monday
185,2004-06-29 00:00:00,0,20,928173000,146170,Tuesday
186,2004-06-30 00:00:00,2,15,1275900500,201454,Wednesday
188,2004-07-01 00:00:00,0,15,1179988000,186586,Thursday
189,2004-07-02 00:00:00,1,16,1487043000,228827,Friday
190,2004-07-03 00:00:00,0,15,2762896000,428654,Saturday
191,2004-07-04 00:00:00,0,15,2579007000,397905,Sunday
192,2004-07-05 00:00:00,0,15,1095206500,172108,Monday
193,2004-07-06 00:00:00,0,15,1037541000,163523,Tuesday
194,2004-07-07 00:00:00,0,16,1054568500,165396,Wednesday
195,2004-07-08 00:00:00,0,18,1272642500,202198,Thursday
196,2004-07-09 00:00:00,4,15,1628313000,253842,Friday
197,2004-07-10 00:00:00,0,15,3152123000,501254,Saturday
198,2004-07-11 00:00:00,0,16,2846782500,444360,Sunday
199,2004-07-12 00:00:00,0,15,1079596500,169956,Monday
200,2004-07-13 00:00:00,0,14,1101693500,173707,Tuesday
201,2004-07-14 00:00:00,0,16,1076979000,170115,Wednesday
202,2004-07-15 00:00:00,0,16,1542302000,247875,Thursday
203,2004-07-16 00:00:00,2,14,2018635000,323204,Friday
