,연도,전체개봉편수,전체상영편수,전체매출액,전체관객수,요일,가격,holiday
108,2004-04-18,0,19,1209574000,184775,Sun,7000,0
109,2004-04-19,0,21,477792500,76218,Mon,7000,0
110,2004-04-20,0,19,525352000,83492,Tue,7000,0
111,2004-04-21,0,22,518947000,82895,Wed,7000,0
112,2004-04-22,0,23,549168500,87990,Thu,7000,0
113,2004-04-23,10,21,786443500,127769,Fri,7000,0
114,2004-04-24,0,21,1315216000,203349,Sat,7000,0
115,2004-04-25,0,21,1214380500,183797,Sun,7000,0
116,2004-04-26,0,21,434995500,68834,Mon,7000,0
117,2004-04-27,0,21,472009500,74426,Tue,7000,0
118,2004-04-28,0,23,472251000,76128,Wed,7000,0
119,2004-04-29,0,25,503118500,80691,Thu,7000,0
120,2004-04-30,8,20,621306500,100825,Fri,7000,0
121,2004-05-01,0,19,1097405000,167657,Sat,7000,0
122,2004-05-02,0,20,1029809000,155361,Sun,7000,0
123,2004-05-03,0,20,385590000,60442,Mon,7000,0
124,2004-05-04,0,17,595348500,94038,Tue,7000,0
125,2004-05-05,2,15,1443236000,221033,Wed,7000,1
126,2004-05-06,0,16,496024000,79166,Thu,7000,0
127,2004-05-07,1,16,586042000,95022,Fri,7000,0
128,2004-05-08,0,15,1079063000,165151,Sat,7000,0
129,2004-05-09,0,15,1175730500,177643,Sun,7000,0
130,2004-05-10,0,15,425949500,66939,Mon,7000,0
131,2004-05-11,0,16,405921000,63888,Tue,7000,0
132,2004-05-12,0,16,412794500,64737,Wed,7000,0
133,2004-05-13,0,16,438821000,69360,Thu,7000,0
134,2004-05-14,3,16,635120500,101540,Fri,7000,0
135,2004-05-15,0,16,1201472000,181406,Sat,7000,0
136,2004-05-16,0,17,1157408500,174531,Sun,7000,0
137,2004-05-17,0,16,394319500,62879,Mon,7000,0
138,2004-05-18,0,18,376006000,59208,Tue,7000,0
139,2004-05-19,0,21,411498500,64550,Wed,7000,0
140,2004-05-20,0,18,556304000,86700,Thu,7000,0
141,2004-05-21,4,15,873647100,138281,Fri,7000,0
142,2004-05-22,0,16,1422574500,219599,Sat,7000,0
143,2004-05-23,0,16,1343993000,204988,Sun,7000,0
144,2004-05-24,0,15,520493500,80835,Mon,7000,0
145,2004-05-25,0,18,699074500,109327,Tue,7000,0
146,2004-05-26,3,17,1480650000,228316,Wed,7000,1
147,2004-05-27,0,16,473160000,73632,Thu,7000,0
148,2004-05-28,1,17,678952600,108982,Fri,7000,0
149,2004-05-29,0,17,1268031500,194292,Sat,7000,0
150,2004-05-30,0,17,1178616000,179690,Sun,7000,0
151,2004-05-31,0,17,435246000,67973,Mon,7000,0
152,2004-06-01,0,18,821606000,129788,Tue,7000,0
153,2004-06-02,0,20,1022086000,164064,Wed,7000,0
154,2004-06-03,2,17,1193359500,187432,Thu,7000,0
155,2004-06-04,2,16,1532771500,235879,Fri,7000,0
156,2004-06-05,0,17,2819714000,437751,Sat,7000,0
157,2004-06-06,0,17,2658252000,412759,Sun,7000,1
158,2004-06-07,0,17,996750000,157465,Mon,7000,0
159,2004-06-08,0,18,860360500,134751,Tue,7000,0
160,2004-06-09,0,20,818576000,128327,Wed,7000,0
161,2004-06-10,0,20,874389000,138303,Thu,7000,0
162,2004-06-11,4,18,1236212000,190430,Fri,7000,0
163,2004-06-12,0,19,2580736500,402745,Sat,7000,0
164,2004-06-13,0,18,2359700500,366192,Sun,7000,0
165,2004-06-14,0,19,760615000,119416,Mon,7000,0
166,2004-06-15,0,20,709787500,111791,Tue,7000,0
167,2004-06-16,0,20,731599500,114971,Wed,7000,0
168,2004-06-17,1,20,1036326000,163136,Thu,7000,0
169,2004-06-18,4,19,1501902000,232073,Fri,7000,0
170,2004-06-19,1,18,2700989000,420314,Sat,7000,0
171,2004-06-20,0,19,2643025500,405752,Sun,7000,0
172,2004-06-21,0,18,1108049000,173458,Mon,7000,0
173,2004-06-22,0,19,1004850500,157711,Tue,7000,0
174,2004-06-23,0,16,945980500,148677,Wed,7000,0
175,2004-06-24,0,21,944420500,148693,Thu,7000,0
176,2004-06-25,6,18,1234469000,190431,Fri,7000,0
177,2004-06-26,0,16,2405780000,373788,Sat,7000,0
178,2004-06-27,0,15,2171043000,332548,Sun,7000,0
179,2004-06-28,0,15,902150500,142192,Mon,7000,0
180,2004-06-29,0,20,928173000,146170,Tue,7000,0
181,2004-06-30,2,15,1275900500,201454,Wed,7000,0
182,2004-07-01,0,15,1179988000,186586,Thu,7000,0
183,2004-07-02,1,16,1487043000,228827,Fri,8000,0
184,2004-07-03,0,15,2762896000,428654,Sat,8000,0
185,2004-07-04,0,15,2579007000,397905,Sun,8000,0
186,2004-07-05,0,15,1095206500,172108,Mon,7000,0
187,2004-07-06,0,15,1037541000,163523,Tue,7000,0
188,2004-07-07,0,16,1054568500,165396,Wed,7000,0
189,2004-07-08,0,18,1272642500,202198,Thu,7000,0
190,2004-07-09,4,15,1628313000,253842,Fri,8000,0
191,2004-07-10,0,15,3152123000,501254,Sat,8000,0
192,2004-07-11,0,16,2846782500,444360,Sun,8000,0
193,2004-07-12,0,15,1079596500,169956,Mon,7000,0
194,2004-07-13,0,14,1101693500,173707,Tue,7000,0
195,2004-07-14,0,16,1076979000,170115,Wed,7000,0
196,2004-07-15,0,16,1542302000,247875,Thu,7000,0
197,2004-07-16,2,14,2018635000,323204,Fri,8000,0
198,2004-07-17,0,16,3801422000,604909,Sat,8000,1
199,2004-07-18,0,15,3075842500,484290,Sun,8000,0
200,2004-07-19,0,16,1248768500,199850,Mon,7000,0
201,2004-07-20,0,17,1193699500,191031,Tue,7000,0
202,2004-07-21,0,17,1184679500,190589,Wed,7000,0
203,2004-07-22,3,17,1508270000,244500,Thu,7000,0
204,2004-07-23,2,18,2124094500,341072,Fri,8000,0
205,2004-07-24,1,19,3270041500,516537,Sat,8000,0
206,2004-07-25,0,18,3124602000,493058,Sun,8000,0
207,2004-07-26,0,18,1598258000,257220,Mon,7000,0
208,2004-07-27,0,19,1576706500,254164,Tue,7000,0
209,2004-07-28,0,22,1586518500,255664,Wed,7000,0
210,2004-07-29,0,19,1882985500,303351,Thu,7000,0
211,2004-07-30,5,16,2314097000,367799,Fri,8000,0
212,2004-07-31,0,17,3316133500,517991,Sat,8000,0
213,2004-08-01,0,17,3247996500,505424,Sun,8000,0
214,2004-08-02,0,19,2262380500,360645,Mon,7000,0
215,2004-08-03,0,19,2195180000,348942,Tue,7000,0
216,2004-08-04,0,22,1905219500,305480,Wed,7000,0
217,2004-08-05,2,21,2044994000,327602,Thu,7000,0
218,2004-08-06,7,22,2412187500,381878,Fri,8000,0
219,2004-08-07,0,22,3040237500,476811,Sat,8000,0
220,2004-08-08,0,22,3033926500,471751,Sun,8000,0
221,2004-08-09,0,23,1665335000,264369,Mon,7000,0
222,2004-08-10,0,24,1692840500,268678,Tue,7000,0
223,2004-08-11,0,27,1619741500,256654,Wed,7000,0
224,2004-08-12,1,25,1837465500,294473,Thu,7000,0
225,2004-08-13,3,22,2163701500,341067,Fri,8000,0
226,2004-08-14,0,24,3275520000,509433,Sat,8000,0
227,2004-08-15,0,23,3003532500,464899,Sun,8000,1
228,2004-08-16,0,23,1577566500,250398,Mon,7000,0
229,2004-08-17,0,24,1548875000,245727,Tue,7000,0
230,2004-08-18,0,27,1380856500,218029,Wed,7000,0
231,2004-08-19,2,28,1607388500,257621,Thu,7000,0
232,2004-08-20,7,28,1922410500,305672,Fri,8000,0
233,2004-08-21,0,28,3017498000,469319,Sat,8000,0
234,2004-08-22,0,28,2841217500,437493,Sun,8000,0
235,2004-08-23,0,28,1322848500,209926,Mon,7000,0
236,2004-08-24,0,28,1239992000,196755,Tue,7000,0
237,2004-08-25,0,28,1130024500,178910,Wed,7000,0
238,2004-08-26,0,27,1148105000,182992,Thu,7000,0
239,2004-08-27,5,30,1409200000,221101,Fri,8000,0
240,2004-08-28,0,35,2686301000,418652,Sat,8000,0
241,2004-08-29,0,31,2493492500,385278,Sun,8000,0
242,2004-08-30,0,34,942434500,148073,Mon,7000,0
243,2004-08-31,0,32,898635000,141933,Tue,7000,0
244,2004-09-01,0,36,792100500,124773,Wed,7000,0
245,2004-09-02,0,32,848231500,134709,Thu,7000,0
246,2004-09-03,8,24,1309091000,203820,Fri,8000,0
247,2004-09-04,0,24,2638100000,408928,Sat,8000,0
248,2004-09-05,0,23,2524918500,389701,Sun,8000,0
249,2004-09-06,0,25,829537000,130527,Mon,7000,0
250,2004-09-07,0,26,840129000,131706,Tue,7000,0
251,2004-09-08,0,25,803463500,126335,Wed,7000,0
252,2004-09-09,0,35,907626500,144826,Thu,7000,0
253,2004-09-10,9,28,1268777500,198621,Fri,8000,0
254,2004-09-11,0,31,2770348000,433823,Sat,8000,0
255,2004-09-12,0,29,2624690500,403699,Sun,8000,0
256,2004-09-13,0,34,837945500,132047,Mon,7000,0
257,2004-09-14,0,30,787355500,124186,Tue,7000,0
258,2004-09-15,0,32,797356500,125649,Wed,7000,0
259,2004-09-16,1,32,1002532000,160449,Thu,7000,0
260,2004-09-17,4,31,1293636000,203767,Fri,8000,0
261,2004-09-18,0,28,2761388000,432152,Sat,8000,0
262,2004-09-19,0,28,2575250500,397878,Sun,8000,0
263,2004-09-20,0,29,822977000,129996,Mon,7000,0
264,2004-09-21,0,31,829304000,131383,Tue,7000,0
265,2004-09-22,0,34,815662000,129073,Wed,7000,0
266,2004-09-23,1,43,820441500,131595,Thu,7000,0
267,2004-09-24,5,32,1298848000,204949,Fri,8000,0
268,2004-09-25,0,21,2719820000,425761,Sat,8000,0
269,2004-09-26,0,20,2724582500,419955,Sun,8000,0
270,2004-09-27,0,21,2555207000,393781,Mon,8000,1
271,2004-09-28,0,21,3065787000,467812,Tue,8000,1
272,2004-09-29,0,21,3423908000,527105,Wed,8000,1
273,2004-09-30,0,21,1413072000,228078,Thu,7000,0
274,2004-10-01,1,20,1016655000,159126,Fri,8000,0
275,2004-10-02,0,21,2064098500,317716,Sat,8000,0
276,2004-10-03,0,21,1864776500,284221,Sun,8000,1
277,2004-10-04,0,20,535424500,84509,Mon,7000,0
278,2004-10-05,0,22,530491500,83749,Tue,7000,0
279,2004-10-06,0,22,576866500,92020,Wed,7000,0
280,2004-10-07,0,24,614973500,99512,Thu,7000,0
281,2004-10-08,4,37,1271760000,204470,Fri,8000,0
282,2004-10-09,0,37,2274134000,358198,Sat,8000,0
283,2004-10-10,0,32,2170783500,335490,Sun,8000,0
284,2004-10-11,0,21,727214500,115534,Mon,7000,0
285,2004-10-12,0,20,795478500,127278,Tue,7000,0
286,2004-10-13,0,22,771805500,124489,Wed,7000,0
287,2004-10-14,1,25,755157500,121996,Thu,7000,0
288,2004-10-15,4,23,1104971000,175138,Fri,8000,0
289,2004-10-16,0,25,2220558000,349282,Sat,8000,0
290,2004-10-17,0,25,2070168500,320635,Sun,8000,0
291,2004-10-18,0,30,642976000,101911,Mon,7000,0
292,2004-10-19,0,29,673086500,107101,Tue,7000,0
293,2004-10-20,0,33,678937500,108432,Wed,7000,0
294,2004-10-21,0,36,668545000,108235,Thu,7000,0
295,2004-10-22,5,25,1410145500,225107,Fri,8000,0
296,2004-10-23,1,22,2593291000,406194,Sat,8000,0
297,2004-10-24,0,23,2298207500,352633,Sun,8000,0
298,2004-10-25,0,25,779345500,123731,Mon,7000,0
299,2004-10-26,0,23,792703000,126184,Tue,7000,0
300,2004-10-27,1,26,811015500,129461,Wed,7000,0
301,2004-10-28,0,25,875586000,141522,Thu,7000,0
302,2004-10-29,4,24,1354091000,213837,Fri,8000,0
303,2004-10-30,0,24,2535024000,391955,Sat,8000,0
304,2004-10-31,0,25,2382531000,364733,Sun,8000,0
305,2004-11-01,0,29,805375000,128275,Mon,7000,0
306,2004-11-02,0,32,832794500,132633,Tue,7000,0
307,2004-11-03,0,32,801741500,128408,Wed,7000,0
308,2004-11-04,0,26,778135000,124016,Thu,7000,0
