날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,가격
2017-08-02,1446,0.275,7068,0.384,1302719,0.438,0.536,5116354700,5116354700,698088,698088,5687344800,784801,1,10000
2017-08-03,1553,0.28,7293,0.394,1342682,0.449,0.485,4825521000,-290833700,651779,-46309,10512865800,1436580,1,10000
2017-08-04,1677,0.303,7850,0.421,1434878,0.477,0.493,5809978335,984457335,707113,55334,16322844135,2143693,1,11000
2017-08-05,1827,0.323,8699,0.46,1580351,0.517,0.711,9280365401,3470387066,1123443,416330,25603209536,3267136,1,11000
2017-08-06,1906,0.339,8929,0.481,1615851,0.539,0.677,9039743900,-240621501,1093911,-29532,34642953436,4361047,1,11000
2017-08-07,1745,0.335,8569,0.479,1570945,0.543,0.358,4175562100,-4864181800,562755,-531156,38818515536,4923802,1,10000
2017-08-08,1753,0.333,8632,0.482,1581974,0.546,0.306,3571801800,-603760300,484078,-78677,42390317336,5407880,1,10000
2017-08-09,1446,0.257,6654,0.359,1231227,0.409,0.329,2979664700,-592137100,404935,-79143,45369982036,5812815,1,10000
2017-08-10,1353,0.238,6303,0.335,1179466,0.387,0.301,2625161400,-354503300,355182,-49753,47995143436,6167997,1,10000
2017-08-11,1356,0.234,6436,0.338,1212226,0.393,0.315,3152911028,527749628,382042,26860,51148054464,6550039,1,11000
2017-08-12,1410,0.231,6659,0.341,1261070,0.4,0.561,5884901932,2731990904,706852,324810,57032956396,7256891,1,11000
2017-08-13,1385,0.229,6478,0.336,1230078,0.395,0.554,5663326600,-221575332,680919,-25933,62696282996,7937810,1,11000
2017-08-14,1291,0.225,6259,0.326,1192556,0.384,0.427,3778942050,-1884384550,508734,-172185,66475225046,8446544,1,10000
2017-08-15,1040,0.182,4635,0.246,838648,0.276,0.688,4705320750,926378700,577296,68562,71180545796,9023840,1,11000
2017-08-16,986,0.183,4471,0.248,791214,0.272,0.259,1494801400,-3210519350,204856,-372440,72675347196,9228696,1,10000
2017-08-17,934,0.166,3914,0.211,705767,0.237,0.247,1278614700,-216186700,174377,-30479,73953961896,9403073,1,10000
2017-08-18,956,0.167,4071,0.218,732787,0.244,0.257,1541913303,263298603,188683,14306,75495875199,9591756,1,11000
2017-08-19,1033,0.172,4405,0.229,812831,0.262,0.457,3081226450,1539313147,371597,182914,78577101649,9963353,1,11000
2017-08-20,1022,0.172,4311,0.228,794279,0.261,0.491,3233184800,151958350,389631,18034,81810286449,10352984,1,11000
2017-08-21,933,0.175,4049,0.228,735905,0.256,0.204,1101831000,-2131353800,149816,-239815,82912117449,10502800,1,10000
2017-08-22,954,0.172,4020,0.227,723951,0.253,0.183,964359600,-137471400,132430,-17386,83876477049,10635230,1,10000
2017-08-23,833,0.144,2975,0.174,518526,0.187,0.203,765510500,-198849100,105168,-27262,84641987549,10740398,2,10000
2017-08-24,802,0.128,3039,0.168,535576,0.184,0.188,733076500,-32434000,100785,-4383,85375064049,10841183,2,10000
2017-08-25,831,0.132,3141,0.171,556675,0.188,0.198,892566300,159489800,110401,9616,86267630349,10951584,2,11000
2017-08-26,861,0.127,3375,0.176,596784,0.194,0.366,1809785500,917219200,218682,108281,88077415849,11170266,2,11000
2017-08-27,861,0.129,3326,0.178,592404,0.196,0.335,1639910700,-169874800,198166,-20516,89717326549,11368432,2,11000
2017-08-28,827,0.141,3150,0.181,552568,0.196,0.118,474055200,-1165855500,65223,-132943,90191381749,11433655,2,10000
2017-08-29,863,0.145,3171,0.183,551459,0.196,0.117,459346200,-14709000,64626,-597,90650727949,11498281,2,10000
2017-08-30,630,0.109,2130,0.123,375261,0.133,0.212,457704500,-1641700,79377,14751,91108432449,11577658,3,10000
2017-08-31,615,0.109,2131,0.124,369106,0.132,0.128,335370500,-122334000,47308,-32069,91443802949,11624966,2,10000
2017-09-01,625,0.109,2219,0.126,380441,0.133,0.128,393791700,58421200,48618,1310,91837594649,11673584,3,11000
2017-09-02,683,0.107,2475,0.133,434720,0.144,0.227,827171300,433379600,98741,50123,92664765949,11772325,4,11000
2017-09-03,671,0.106,2397,0.132,422884,0.144,0.214,759307500,-67863800,90659,-8082,93424073449,11862984,4,11000
2017-09-04,646,0.119,2247,0.137,381451,0.142,0.077,212759100,-546548400,29312,-61347,93636832549,11892296,3,10000
2017-09-05,638,0.114,2212,0.135,376462,0.141,0.072,195529500,-17229600,27143,-2169,93832362049,11919439,3,10000
2017-09-06,514,0.096,1501,0.09,199617,0.073,0.111,156805700,-38723800,22063,-5080,93989167749,11941502,4,10000
2017-09-07,498,0.084,1380,0.082,182096,0.066,0.108,139546500,-17259200,19589,-2474,94128714249,11961091,4,10000
2017-09-08,511,0.085,1378,0.08,181303,0.064,0.115,165784100,26237600,20760,1171,94294498349,11981851,4,11000
2017-09-09,501,0.078,1292,0.07,171371,0.057,0.242,306198900,140414800,41541,20781,94600697249,12023392,5,11000
2017-09-10,492,0.078,1262,0.07,166486,0.057,0.268,368553200,62354300,44627,3086,94969250449,12068019,4,11000
2017-09-11,513,0.091,1303,0.08,170299,0.063,0.102,125126500,-243426700,17335,-27292,95094376949,12085354,4,10000
2017-09-12,507,0.089,1271,0.079,167132,0.063,0.082,97627900,-27498600,13721,-3614,95192004849,12099075,4,10000
2017-09-13,502,0.082,1185,0.073,159304,0.06,0.078,88022200,-9605700,12475,-1246,95280027049,12111550,5,10000
2017-09-14,298,0.052,502,0.029,59428,0.021,0.109,44171400,-43850800,6474,-6001,95324198449,12118024,6,10000
2017-09-15,310,0.053,531,0.03,63797,0.022,0.112,55289700,11118300,7152,678,95379488149,12125176,7,11000
2017-09-16,321,0.05,562,0.03,68520,0.022,0.196,110920500,55630800,13398,6246,95490408649,12138574,7,11000
2017-09-17,319,0.05,552,0.03,67607,0.023,0.209,116872000,5951500,14102,704,95607280649,12152676,7,11000
2017-09-18,311,0.055,550,0.033,67170,0.025,0.074,35462100,-81409900,4939,-9163,95642742749,12157615,6,10000
2017-09-19,320,0.056,536,0.033,65473,0.024,0.074,33766700,-1695400,4847,-92,95676509449,12162462,9,10000
2017-09-20,305,0.054,532,0.033,64221,0.024,0.065,29831600,-3935100,4197,-650,95706341049,12166659,9,10000
2017-09-21,124,0.023,186,0.011,23413,0.009,0.079,12504500,-17327100,1853,-2344,95718845549,12168512,14,10000
2017-09-22,128,0.023,187,0.011,23776,0.009,0.076,14179400,1674900,1809,-44,95733024949,12170321,11,11000
2017-09-23,133,0.022,194,0.011,24663,0.008,0.125,25292200,11112800,3079,1270,95758317149,12173400,13,11000
2017-09-24,128,0.021,183,0.01,23132,0.008,0.145,28031000,2738800,3353,274,95786348149,12176753,12,11000
2017-09-25,132,0.025,199,0.013,24366,0.009,0.051,8808500,-19222500,1248,-2105,95795156649,12178001,13,10000
2017-09-26,127,0.023,186,0.012,23560,0.009,0.058,9401400,592900,1362,114,95804558049,12179363,15,10000
